Business Date,Property Code,Shift,UserName,Account Number,Account Name,Cred limit,Invoice Number,    Invoice Date ,Current , 30Days  ,60Days , 90Days, 120Days ,Credits  , Balance
4/29/2023,IA056,No Shift,Smoham.ia056,651045,CHOICE PRIVILEGE REDEMPTION,0,67013793,3/24/2023,0,38.37,0,0,0,0,38.37
4/29/2023,IA056,No Shift,Smoham.ia056,651045,CHOICE PRIVILEGE REDEMPTION,0,67013794,3/24/2023,0,38.37,0,0,0,0,38.37
4/29/2023,IA056,No Shift,Smoham.ia056,651045,CHOICE PRIVILEGE REDEMPTION,0,67039231,3/26/2023,0,278.78,0,0,0,0,278.78
4/29/2023,IA056,No Shift,Smoham.ia056,651045,CHOICE PRIVILEGE REDEMPTION,0,67039357,3/26/2023,0,278.78,0,0,0,0,278.78
4/29/2023,IA056,No Shift,Smoham.ia056,651045,CHOICE PRIVILEGE REDEMPTION,0,67039358,3/26/2023,0,138.05,0,0,0,0,138.05
4/29/2023,IA056,No Shift,Smoham.ia056,651045,CHOICE PRIVILEGE REDEMPTION,0,67100905,3/31/2023,0,46.85,0,0,0,0,46.85
4/29/2023,IA056,No Shift,Smoham.ia056,651045,CHOICE PRIVILEGE REDEMPTION,0,67142071,04-03-2023,35.37,0,0,0,0,0,35.37
4/29/2023,IA056,No Shift,Smoham.ia056,651045,CHOICE PRIVILEGE REDEMPTION,0,67230289,04-10-2023,33.28,0,0,0,0,0,33.28
4/29/2023,IA056,No Shift,Smoham.ia056,651045,CHOICE PRIVILEGE REDEMPTION,0,67230309,04-10-2023,33.28,0,0,0,0,0,33.28
4/29/2023,IA056,No Shift,Smoham.ia056,651045,CHOICE PRIVILEGE REDEMPTION,0,67265827,4/13/2023,41.01,0,0,0,0,0,41.01
4/29/2023,IA056,No Shift,Smoham.ia056,651045,CHOICE PRIVILEGE REDEMPTION,0,67282025,4/14/2023,40.73,0,0,0,0,0,40.73
4/29/2023,IA056,No Shift,Smoham.ia056,651045,CHOICE PRIVILEGE REDEMPTION,0,67298745,4/15/2023,52.38,0,0,0,0,0,52.38
4/29/2023,IA056,No Shift,Smoham.ia056,651045,CHOICE PRIVILEGE REDEMPTION,0,67309550,4/16/2023,113.93,0,0,0,0,0,113.93
4/29/2023,IA056,No Shift,Smoham.ia056,651045,CHOICE PRIVILEGE REDEMPTION,0,67309597,4/16/2023,61.55,0,0,0,0,0,61.55
4/29/2023,IA056,No Shift,Smoham.ia056,651045,CHOICE PRIVILEGE REDEMPTION,0,67331419,4/18/2023,38.81,0,0,0,0,0,38.81
4/29/2023,IA056,No Shift,Smoham.ia056,651045,CHOICE PRIVILEGE REDEMPTION,0,67345953,4/19/2023,37.53,0,0,0,0,0,37.53
4/29/2023,IA056,No Shift,Smoham.ia056,651045,CHOICE PRIVILEGE REDEMPTION,0,67345954,4/19/2023,37.53,0,0,0,0,0,37.53
4/29/2023,IA056,No Shift,Smoham.ia056,651045,CHOICE PRIVILEGE REDEMPTION,0,67345997,4/19/2023,37.53,0,0,0,0,0,37.53
4/29/2023,IA056,No Shift,Smoham.ia056,651045,CHOICE PRIVILEGE REDEMPTION,0,67391373,4/22/2023,56.07,0,0,0,0,0,56.07
4/29/2023,IA056,No Shift,Smoham.ia056,651045,CHOICE PRIVILEGE REDEMPTION,0,67401735,4/23/2023,116.93,0,0,0,0,0,116.93
4/29/2023,IA056,No Shift,Smoham.ia056,651045,CHOICE PRIVILEGE REDEMPTION,0,67401813,4/23/2023,60.86,0,0,0,0,0,60.86
4/29/2023,IA056,No Shift,Smoham.ia056,651086,IOWA INTERSTATE RAILROAD,"3,500.00",62716342,05-05-2022,0,0,0,0,218.4,0,218.4
4/29/2023,IA056,No Shift,Smoham.ia056,651086,IOWA INTERSTATE RAILROAD,"3,500.00",63655671,07-11-2022,0,0,0,0,0,-218.4,-218.4
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",66832186,03-10-2023,0,70.56,0,0,0,0,70.56
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",66985069,3/22/2023,0,493.92,0,0,0,0,493.92
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",66985070,3/22/2023,0,493.92,0,0,0,0,493.92
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",66985085,3/22/2023,0,493.92,0,0,0,0,493.92
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",66985086,3/22/2023,0,493.92,0,0,0,0,493.92
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",66998607,3/22/2023,0,63,0,0,0,0,63
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",66998656,3/22/2023,0,63,0,0,0,0,63
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",66998836,3/23/2023,0,70.56,0,0,0,0,70.56
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",67050378,3/27/2023,0,70.56,0,0,0,0,70.56
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",67070797,3/29/2023,0,70.56,0,0,0,0,70.56
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",67181655,04-06-2023,70.56,0,0,0,0,0,70.56
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",67197679,04-07-2023,70.56,0,0,0,0,0,70.56
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",67197800,04-07-2023,70.56,0,0,0,0,0,70.56
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",67225771,04-09-2023,70.56,0,0,0,0,0,70.56
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",67230308,04-10-2023,231.84,0,0,0,0,0,231.84
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",67239799,04-11-2023,70.56,0,0,0,0,0,70.56
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",67239860,04-11-2023,110.88,0,0,0,0,0,110.88
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",67239861,04-11-2023,70.56,0,0,0,0,0,70.56
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",67252901,04-12-2023,70.56,0,0,0,0,0,70.56
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",67265843,4/13/2023,77.28,0,0,0,0,0,77.28
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",67281990,4/14/2023,77.28,0,0,0,0,0,77.28
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",67281991,4/14/2023,77.28,0,0,0,0,0,77.28
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",67282024,4/14/2023,77.28,0,0,0,0,0,77.28
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",67412697,4/24/2023,231.84,0,0,0,0,0,231.84
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",67423529,4/25/2023,70.56,0,0,0,0,0,70.56
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",67423530,4/25/2023,70.56,0,0,0,0,0,70.56
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",67436596,4/26/2023,154.56,0,0,0,0,0,154.56
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",67450352,4/27/2023,70.56,0,0,0,0,0,70.56
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",67465975,4/28/2023,282.24,0,0,0,0,0,282.24
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",67465989,4/28/2023,282.24,0,0,0,0,0,282.24
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",67465991,4/28/2023,282.24,0,0,0,0,0,282.24
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",67466001,4/28/2023,282.24,0,0,0,0,0,282.24
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",67466002,4/28/2023,282.24,0,0,0,0,0,282.24
4/29/2023,IA056,No Shift,Smoham.ia056,792009,CORPORATE LODGING CONSULTING,"5,000",67466005,4/28/2023,309.12,0,0,0,0,0,309.12
